Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
4 Tawn Cres,https://www.zoocasa.com/ajax-on-real-estate/4-tawn-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5d6f33f8-a6ec-4fd6-9e88-6038497f947b.jpg&w=640&q=75,Sold,"$1,365,000","List Price$998,000",21 days ,5 Bed,4 Bath,2500–3000 sqft
114 Rotherglen Rd N,https://www.zoocasa.com/ajax-on-real-estate/114-rotherglen-rd-n,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,025,000","List Price$999,900",24 days ,3 Bed,3 Bath,1500–2000 sqft
89 Reed Dr,https://www.zoocasa.com/ajax-on-real-estate/89-reed-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F496332e8-b160-4f41-b0e1-9f1c53c3aab4.jpg&w=640&q=75,Sold,"$1,025,000","List Price$899,900",20 days ,4 Bed,4 Bath,N/A sqft
385 Rossland Rd E,https://www.zoocasa.com/ajax-on-real-estate/385-rossland-rd-e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$950,000","List Price$799,900",25 days ,3 Bed,3 Bath,1500–2000 sqft
52 Middlecote Dr,https://www.zoocasa.com/ajax-on-real-estate/52-middlecote-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,220,000","List Price$1,249,800",24 days ,3 Bed,3 Bath,N/A sqft
3 Glynn Rd,https://www.zoocasa.com/ajax-on-real-estate/3-glynn-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F40fe3dfe-4ad5-4165-a7cf-2abf27e616f5.jpg&w=640&q=75,Sold,"$999,900","List Price$949,000",21 days ,3 Bed,3 Bath,1100–1500 sqft
59 Magill Dr E,https://www.zoocasa.com/ajax-on-real-estate/59-magill-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd6cca4f4-5d59-4e6f-b66a-65f324610d61.jpg&w=640&q=75,Sold,"$1,200,000","List Price$938,000",Sold 21 Days Ago,4 Bed,4 Bath,N/A sqft
24 Beadle Dr,https://www.zoocasa.com/ajax-on-real-estate/24-beadle-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,175,000","List Price$888,888",Sold 25 Days Ago,3 Bed,3 Bath,N/A sqft
66 Adams Dr,https://www.zoocasa.com/ajax-on-real-estate/66-adams-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,360,000","List Price$1,199,000",21 days ,4 Bed,4 Bath,N/A sqft
36 Twigg Dr,https://www.zoocasa.com/ajax-on-real-estate/36-twigg-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$950,000","List Price$849,000",22 days ,3 Bed,3 Bath,1500–2000 sqft
