Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
220 Conant St,https://www.zoocasa.com/oshawa-on-real-estate/220-conant-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1b02b0eb-9e80-4ade-831b-ebac8ce4bc1c.jpg&w=640&q=75,Sold,"$575,000","List Price$599,900",Sold 6 Days Ago,3 Bed,1 Bath,N/A sqft
207 Cabot St,https://www.zoocasa.com/oshawa-on-real-estate/207-cabot-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$835,000","List Price$799,000",Sold 9 Days Ago,3 Bed,3 Bath,1100–1500 sqft
1446 Bala Dr,https://www.zoocasa.com/oshawa-on-real-estate/1446-bala-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,000,000","List Price$699,500",9 days ,3 Bed,3 Bath,N/A sqft
570 Finucane St,https://www.zoocasa.com/oshawa-on-real-estate/570-finucane-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F89dc8dad-9753-4563-9420-b04f6b515baa.jpg&w=640&q=75,Sold,"$955,000","List Price$749,900",7 days ,1 Bed,2 Bath,N/A sqft
404 - 131 Taunton Rd E,https://www.zoocasa.com/oshawa-on-real-estate/404-131-taunton-rd-e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$440,000","List Price$440,000",Sold 10 Days Ago,2 Bed,1 Bath,900–999 sqft
241 Coventry Crt,https://www.zoocasa.com/oshawa-on-real-estate/241-coventry-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5ea17db8-1b0c-4333-ba5f-a59465fbb7ed.jpg&w=640&q=75,Sold,"$767,000","List Price$599,999",7 days ,3 Bed,2 Bath,N/A sqft
2643 Deputy Minister Path,https://www.zoocasa.com/oshawa-on-real-estate/2643-deputy-minister-path,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fee75fe4e-3aed-47f0-864c-e761eac12037.jpg&w=640&q=75,Sold,"$860,000","List Price$699,800",Sold 7 Days Ago,4 Bed,3 Bath,1500–2000 sqft
50 Caledon Crt,https://www.zoocasa.com/oshawa-on-real-estate/50-caledon-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe2333bb7-bf50-4bef-88f4-8345f9e2291f.jpg&w=640&q=75,Sold,"$950,000","List Price$999,900",7 days ,4 Bed,3 Bath,N/A sqft
990 Basswood Ave,https://www.zoocasa.com/oshawa-on-real-estate/990-basswood-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$825,000","List Price$799,000",9 days ,3 Bed,2 Bath,N/A sqft
483 Jarvis St,https://www.zoocasa.com/oshawa-on-real-estate/483-jarvis-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$625,000","List Price$499,000",8 days ,2 Bed,1 Bath,N/A sqft
1693 Yardley St,https://www.zoocasa.com/oshawa-on-real-estate/1693-yardley-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe701a0fe-61a3-4b4d-87be-e679e98f8f64.jpg&w=640&q=75,Sold,"$1,376,250","List Price$1,400,000",6 days ,4 Bed,4 Bath,2500–3000 sqft
1173 Greenhill Ave,https://www.zoocasa.com/oshawa-on-real-estate/1173-greenhill-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,425,000","List Price$1,499,000",9 days ,4 Bed,4 Bath,2500–3000 sqft
617 Radisson Ave,https://www.zoocasa.com/oshawa-on-real-estate/617-radisson-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$771,000","List Price$599,900",10 days ,4 Bed,3 Bath,N/A sqft
72 - 1087 Ormond Dr,https://www.zoocasa.com/oshawa-on-real-estate/72-1087-ormond-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$815,000","List Price$850,000",Sold 9 Days Ago,3 Bed,3 Bath,1200–1399 sqft
220 Mcnaughton Ave,https://www.zoocasa.com/oshawa-on-real-estate/220-mcnaughton-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$865,000","List Price$899,900",9 days ,3 Bed,2 Bath,N/A sqft
1120 Edward Bolton Cres,https://www.zoocasa.com/oshawa-on-real-estate/1120-edward-bolton-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,165,000","List Price$899,800",8 days ,4 Bed,3 Bath,N/A sqft
70 - 155 Glovers Rd,https://www.zoocasa.com/oshawa-on-real-estate/70-155-glovers-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9082f8e0-3ca6-4e68-a25b-181c82a03349.jpg&w=640&q=75,Sold,"$710,000","List Price$489,000",6 days ,3 Bed,3 Bath,1600–1799 sqft
204 - 1900 Simcoe St N,https://www.zoocasa.com/oshawa-on-real-estate/204-1900-simcoe-st-n,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$335,000","List Price$289,900",8 days ,0 Bed,1 Bath,0-499 sqft
6 - 450 Bristol Cres,https://www.zoocasa.com/oshawa-on-real-estate/6-450-bristol-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Febcc69b2-e696-4a5d-96bf-501d81104c31.jpg&w=640&q=75,Sold,"$640,000","List Price$449,900",Sold 8 Days Ago,3 Bed,2 Bath,1000–1199 sqft
12 - 460 Woodmount Dr,https://www.zoocasa.com/oshawa-on-real-estate/12-460-woodmount-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$820,000","List Price$669,900",10 days ,3 Bed,3 Bath,1200–1399 sqft
